position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,11,"Neuville, Thierry",Hyundai i20 Coupe WRC,BE,RC1,"2h 30m 24,2s",NA,NA,NA
2,42,"Breen, Craig",Hyundai i20 Coupe WRC,IE,RC1,"+30,7s",NA,NA,NA
3,69,"Rovanpera, Kalle",Toyota Yaris WRC,FI,RC1,"+43,1s",NA,NA,NA
4,33,"Evans, Elfyn",Toyota Yaris WRC,GB,RC1,"+49,6s",NA,NA,NA
5,1,"Ogier, Sebastien",Toyota Yaris WRC,FR,RC1,"+55,8s",NA,NA,NA
6,8,"Tanak, Ott",Hyundai i20,EE,RC1,"+3m 46,5s",NA,NA,NA
7,25,"Rossel, Yohan",Citroen C3,FR,RC2,"+12m 14,9s",NA,NA,NA
8,39,"Cracco, Pieter Jan Michiel",Skoda Fabia,BE,RC2,"+13m 05,9s",NA,NA,NA
9,60,"Kreim, Fabian",Volkswagen Polo,DE,RC2,"+13m 13,8s",NA,NA,NA
10,37,"Verschueren, Vincent",Volkswagen Polo,BE,RC2,"+13m 31,1s",NA,NA,NA
11,30,"Bedoret, Sebastien",Skoda Fabia,BE,RC2,"+14m 46,5s",0:10,NA,NA
12,28,"McErlean, Joshua",Hyundai i20,IE,RC2,"+14m 51,6s",NA,NA,NA
13,38,"Casier, Bernd",Ford Fiesta,BE,RC2,"+15m 13,3s",NA,NA,NA
14,32,"de Mevius, Ghislain",Skoda Fabia,BE,RC2,"+15m 45,2s",NA,NA,NA
15,27,"de Cecco, Cedric",Skoda Fabia,BE,RC2,"+16m 06,9s",NA,NA,NA
16,36,"Munster, Gregoire",Hyundai i20,LU,RC2,"+17m 00,0s",NA,NA,NA
17,35,"Princen, Kris",Citroen C3,BE,RC2,"+17m 25,2s",0:10,NA,NA
18,49,"Ragues, Pierre",Renault-Alpine A110,FR,RGT,"+20m 53,5s",NA,NA,NA
19,21,"Huttunen, Jari",Hyundai i20,FI,RC2,"+21m 08,7s",NA,NA,NA
20,56,"Armstrong, Jon",Ford Fiesta,GB,RC4,"+21m 31,2s",NA,NA,NA
21,54,"Pajari, Sami",Ford Fiesta,FI,RC4,"+22m 31,8s",NA,NA,NA
22,59,"Virves, Robert",Ford Fiesta,EE,RC4,"+22m 52,9s",NA,NA,NA
23,57,"Joona, Lauri",Ford Fiesta,FI,RC4,"+23m 19,0s",NA,NA,NA
24,41,"Pyck, Filip",Skoda Fabia,BE,RC2,"+23m 28,9s",0:10,NA,NA
25,58,"Creighton, William",Ford Fiesta,GB,RC4,"+25m 03,1s",NA,NA,NA
26,67,"Tanghe, Claudie",Porsche 997,BE,ASN,"+25m 52,1s",NA,NA,NA
27,62,"Roussel, Frederic",Citroen DS3,FR,RC2,"+25m 56,4s",NA,NA,NA
28,68,"van Parijs, Timothy",Porsche 997,BE,ASN,"+26m 14,0s",NA,NA,NA
29,104,"Pyck, Gilles",Renault Clio,BE,RC5,"+29m 20,3s",NA,NA,NA
30,45,"Hommes, Kevin",Skoda Fabia,BE,RC2,"+31m 47,7s",0:20,NA,NA
31,103,"Rensonnet, Tom",Renault Clio,BE,RC5,"+32m 24,5s",1:00,NA,NA
32,73,"Vanden Abeele, Tuur",Porsche 997,BE,ASN,"+34m 16,3s",NA,NA,NA
33,52,"Prinzie, Stefaan",Renault-Alpine A110,BE,RGT,"+35m 04,3s",0:10,NA,NA
34,48,"Duez, Marc",Renault-Alpine A110,BE,RGT,"+36m 10,8s",0:10,NA,NA
35,113,"Catelin, Jeroen",Renault Clio,BE,RC5,"+36m 33,0s",NA,NA,NA
36,76,"Dekens, Johan",Porsche 991,BE,ASN,"+36m 52,4s",NA,NA,NA
37,84,"Merlevede, Manuel",Peugeot 208,BE,RC4,"+37m 07,9s",NA,NA,NA
38,50,"Baffoun, Philippe",Renault-Alpine A110,FR,RGT,"+37m 47,2s",NA,NA,NA
39,106,"Priem, Nichias",Renault Clio,BE,RC5,"+38m 05,0s",NA,NA,NA
